animal_name,source,text,media_link,wikipedia_link
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks are sometimes called ""ant bears"" ""earth pigs"" and ""cape anteaters""",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks have rather primitive brains that are very small for the size of the animal. Some have suggested they are not particularly bright....",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks teeth are lined with fine upright tubes and have no roots or enamel.",,/wiki/Aardvark 
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"The aardvarks Latin family name ""Tubulidentata"" means ""tube toothed""",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Baby aardvarks are born with front teeth that fall out and never grow back.",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks are living fossils not having changed for millions of years.",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks will occasionally stand, and even take a step or two, on their hind legs",,/wiki/Aardvark
aardvark,https://www.animalfactsencyclopedia.com/Aardvark-facts.html,"Aardvarks can  use their powerful tails as a whip-like weapon of defense.",,/wiki/Aardvark
african wild dog,https://www.animalfactsencyclopedia.com/African-wild-dog-facts.html,"Wild dogs are known by many different names including painted dog, painted wolf, cape hunting dog, African hunting dog, singing dog and ornate wolf- wow!",,/wiki/African_wild_dog
african wild dog,https://www.animalfactsencyclopedia.com/African-wild-dog-facts.html,They are the most efficient hunters of any large predator with an 80% success rate.,,/wiki/African_wild_dog
african wild dog,https://www.animalfactsencyclopedia.com/African-wild-dog-facts.html,"Wild dogs don't use a kill bite when hunting, the pack will actually begin to eat their prey alive, which may be a big reason for their unpopularity, but is often actually a quicker ending",,/wiki/African_wild_dog
african wild dog,https://www.animalfactsencyclopedia.com/African-wild-dog-facts.html,The African Wild Dog is the second largest dog species after the grey wolf,,/wiki/African_wild_dog
